"","CO_CURSO","DESVINCULADO","TRANSFERIDO","FORMADO","TOTAL","TX_FORMACAO","TX_EVASAO","CO_UNIDADE_FUNCIONAMENTO","CO_IES","NO_IES","CO_CATEGORIA_ADMINISTRATIVA","DS_CATEGORIA_ADMINISTRATIVA.x","CO_ORGANIZACAO_ACADEMICA.x","NO_ORGANIZACAO_ACADEMICA.x","CO_OCDE","NO_AREA_ESPECIFICA","CO_NIVEL_ACADEMICO","CO_MUNICIPIO_CURSO","NO_MUNICIPIO_CURSO","CO_UF_CURSO","NO_REGIAO_CURSO","IN_AJUDA_DEFICIENTE","IN_ALTO_RELEVO","IN_AUDIO","IN_BRAILLE","IN_CARACTER_AMPLIADO","IN_DISCIPLINA_LIBRAS","IN_GUIA_INTERPRETE","IN_MATERIAL_LIBRAS","IN_SINTESE_VOZ","IN_TRADUTOR_LIBRAS","IN_INTEGRAL_CURSO","IN_MATUTINO_CURSO","IN_NOTURNO_CURSO","IN_VESPERTINO_CURSO","IN_VESTIBULAR","IN_ENEM","IN_OUTRA_FORMA_SELECAO","IN_CONVENIO_PEC_G","IN_OUTRAS_FORMAS_INGRESSO","NU_CARGA_HORARIA","NU_PERC_CARGA_HOR_DISTANCIA","NU_PRAZO_INTEGRALIZACAO","QT_INSCRITOS_ANO","IN_OFERECE_DISC_DISTANCIA","IN_PARTICIPA_UAB","IN_PERMITE_CONCLUINTE","IN_UTILIZA_LABORATORIO","QT_VAGAS_INTEGRAL","QT_VAGAS_MATUTINO","QT_VAGAS_NOTURNO","QT_VAGAS_VESPERTINO","QT_MATRICULA_CURSO","QT_CONCLUINTE_CURSO","QT_INGRESSO_CURSO","QT_PROCESSO_SELETIVO","QT_PROCESSO_OUTRA_FORMA","CO_MANTENEDORA","NO_MANTENEDORA","DS_CATEGORIA_ADMINISTRATIVA.y","CO_ORGANIZACAO_ACADEMICA.y","NO_ORGANIZACAO_ACADEMICA.y","CO_MUNICIPIO_IES","NO_MUNICIPIO_IES","CO_UF_IES","SGL_UF_IES","NO_REGIAO_IES","IN_CAPITAL_IES","IN_ENTIDADE_BENEFICENTE","QT_TEC_TOTAL","QT_TEC_FUND_INCOMP_FEM","QT_TEC_FUND_INCOMP_MASC","QT_TEC_FUND_COMP_FEM","QT_TEC_FUND_COMP_MASC","QT_TEC_MEDIO_FEM","QT_TEC_MEDIO_MASC","QT_TEC_SUPERIOR_FEM","QT_TEC_SUPERIOR_MASC","QT_TEC_ESPECIALIZACAO_FEM","QT_TEC_ESPECIALIZACAO_MASC","QT_TEC_MESTRADO_FEM","QT_TEC_MESTRADO_MASC","QT_TEC_DOUTORADO_FEM","QT_TEC_DOUTORADO_MASC"
"1",701,27,3,62,92,0.673913043478261,0.326086956521739,79290,8,"FUNDACAO UNIVERSIDADE FEDERAL DE VICOSA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3171303,"VICOSA",31,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3800,NA,10,421,0,NA,1,1,80,0,0,0,342,49,97,0,97,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",3171303,"VICOSA",31,"MG","Sudeste",0,NA,2324,21,810,19,254,132,520,110,124,124,130,25,37,6,12
"2",2909,4,2,32,38,0.842105263157895,0.157894736842105,83948,55,"UNIVERSIDADE DE SAO PAULO",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3539301,"PIRASSUNUNGA",35,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3930,NA,9,244,0,NA,1,0,40,0,0,0,205,34,39,38,1,46,"GOVERNO DO ESTADO DE SPSECRET DE ESTADO DE CIENCIA TECNOL E DESENVECONE TURISMO DO ESTADO DE SP","ESTADUAL",1,"UNIVERSIDADE",3550308,"SAO PAULO",35,"SP","Sudeste",1,NA,15350,355,1169,371,723,3014,3575,2996,1782,89,63,440,264,297,212
"3",3138,7,0,46,53,0.867924528301887,0.132075471698113,735,56,"UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3524303,"JABOTICABAL",35,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4410,NA,16,50,0,NA,1,1,50,0,0,0,220,19,53,53,0,46,"GOVERNO DO ESTADO DE SPSECRET DE ESTADO DE CIENCIA TECNOL E DESENVECONE TURISMO DO ESTADO DE SP","ESTADUAL",1,"UNIVERSIDADE",3550308,"SAO PAULO",35,"SP","Sudeste",1,NA,5899,69,496,134,372,881,1427,1608,912,0,0,0,0,0,0
"4",3177,7,0,58,65,0.892307692307692,0.107692307692308,730,56,"UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3507506,"BOTUCATU",35,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4245,NA,9,339,0,NA,1,1,60,0,0,0,300,120,67,67,0,46,"GOVERNO DO ESTADO DE SPSECRET DE ESTADO DE CIENCIA TECNOL E DESENVECONE TURISMO DO ESTADO DE SP","ESTADUAL",1,"UNIVERSIDADE",3550308,"SAO PAULO",35,"SP","Sudeste",1,NA,5899,69,496,134,372,881,1427,1608,912,0,0,0,0,0,0
"5",3412,21,0,15,36,0.416666666666667,0.583333333333333,77230,57,"UNIVERSIDADE ESTADUAL DE MARINGA",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4115200,"MARINGA",41,"Sul",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4772,NA,10,640,0,NA,1,1,80,0,0,0,373,71,85,84,1,37,"GOVERNO DO ESTADO DO PARANA  SECRETARIA ESTADUAL DE CIENCIA TECNOLOGIA E ENSINO SUPERIOR","ESTADUAL",1,"UNIVERSIDADE",4115200,"MARINGA",41,"PR","Sul",0,NA,2559,30,190,47,90,486,443,267,170,372,254,96,55,31,28
"6",4104,49,0,26,75,0.346666666666667,0.653333333333333,806,95,"UNIVERSIDADE ESTADUAL DO VALE DO ACARAU",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2312908,"SOBRAL",23,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2970,NA,9,711,0,NA,1,1,0,80,0,0,331,38,83,83,0,75,"GECE  UNIVERSIDADE ESTADUAL VALE DO ACARAU","ESTADUAL",1,"UNIVERSIDADE",2312908,"SOBRAL",23,"CE","Nordeste",0,NA,131,7,12,5,5,15,11,29,15,19,11,0,2,0,0
"7",6495,6,0,9,15,0.6,0.4,2522,271,"UNIVERSIDADE DO OESTE PAULISTA",4,"PARTICULAR EM SENTIDO ESTRITO",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3541406,"PRESIDENTE PRUDENTE",35,"Sudeste",1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,4342,NA,8,54,0,NA,1,1,110,0,0,0,85,25,16,15,1,194,"ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA","PARTICULAR EM SENTIDO ESTRITO",1,"UNIVERSIDADE",3541406,"PRESIDENTE PRUDENTE",35,"SP","Sudeste",0,1,941,93,174,80,152,153,152,66,61,5,4,0,0,1,0
"8",8678,9,0,3,12,0.25,0.75,76676,420,"UNIVERSIDADE DE MARILIA",4,"PARTICULAR EM SENTIDO ESTRITO",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3529005,"MARILIA",35,"Sudeste",1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3820,NA,8,100,0,NA,1,1,60,0,0,0,51,16,12,10,2,292,"ASSOCIACAO DE ENSINO DE MARILIA LTDA","PARTICULAR EM SENTIDO ESTRITO",1,"UNIVERSIDADE",3529005,"MARILIA",35,"SP","Sudeste",0,0,339,0,0,86,52,39,50,50,29,16,12,2,1,1,1
"9",9980,10,0,2,12,0.166666666666667,0.833333333333333,24559,5242,"UNIVERSIDADE ESTADUAL DE ALAGOAS  UNEAL",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2708006,"SANTANA DO IPANEMA",27,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3755,NA,8,60,0,NA,1,1,0,40,0,0,331,134,16,16,0,335,"UNIVERSIDADE ESTADUAL DE ALAGOAS  UNEAL","ESTADUAL",1,"UNIVERSIDADE",2700300,"ARAPIRACA",27,"AL","Nordeste",0,NA,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"10",10813,39,5,20,64,0.3125,0.6875,77385,527,"UNIVERSIDADE CATOLICA DE GOIAS",5,"PARTICULAR CONFESSIONAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,5208707,"GOIANIA",52,"Centro_Oeste",1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,3910,NA,9,164,0,NA,1,1,120,0,0,0,298,30,66,53,13,366,"SOCIEDADE GOIANA DE CULTURA","PARTICULAR CONFESSIONAL",1,"UNIVERSIDADE",5208707,"GOIANIA",52,"GO","Centro_Oeste",1,0,889,33,70,15,50,141,223,127,102,71,28,17,10,1,1
"11",12362,37,0,0,37,0,1,86088,570,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2407104,"MACAIBA",24,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4125,NA,10,0,0,NA,1,1,0,0,0,0,334,36,72,71,1,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2408102,"NATAL",24,"RN","Nordeste",1,NA,767,81,152,4,4,2,4,92,83,202,87,42,0,8,6
"12",12910,74,1,33,108,0.305555555555556,0.694444444444444,76887,574,"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3305554,"SEROPEDICA",33,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3830,NA,10,353,0,NA,1,1,110,0,0,0,434,61,110,107,3,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",3305554,"SEROPEDICA",33,"RJ","Sudeste",0,NA,1082,19,135,24,86,144,300,190,184,0,0,0,0,0,0
"13",13403,34,5,25,64,0.390625,0.609375,757,579,"UNIVERSIDADE FEDERAL DA PARAIBA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2501104,"AREIA",25,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3960,NA,8,153,0,NA,1,1,60,0,0,0,257,20,66,62,4,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2507507,"JOAO PESSOA",25,"PB","Nordeste",1,NA,2495,58,253,19,47,509,699,261,275,192,101,45,28,5,3
"14",13854,26,0,49,75,0.653333333333333,0.346666666666667,34121,582,"UNIVERSIDADE FEDERAL DE SANTA MARIA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4316907,"SANTA MARIA",43,"Sul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3975,NA,10,662,0,NA,1,1,72,0,0,0,299,50,76,73,3,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",4316907,"SANTA MARIA",43,"RS","Sul",0,NA,2608,58,118,115,130,494,293,343,222,384,221,128,70,17,15
"15",14508,49,3,32,84,0.380952380952381,0.619047619047619,25232,587,"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2611606,"RECIFE",26,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,3995,NA,10,264,0,NA,1,1,0,40,0,40,373,47,84,80,4,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2611606,"RECIFE",26,"PE","Nordeste",1,NA,923,8,69,31,112,96,169,99,91,132,53,25,27,6,5
"16",14577,40,3,43,86,0.5,0.5,77231,592,"UNIVERSIDADE FEDERAL DE LAVRAS",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3138203,"LAVRAS",31,"Sudeste",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,4607,NA,10,443,0,NA,1,1,100,0,0,0,265,34,105,105,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",3138203,"LAVRAS",31,"MG","Sudeste",0,NA,399,2,60,7,29,29,70,34,39,63,41,12,7,3,3
"17",15158,24,0,24,48,0.5,0.5,76134,648,"FACULDADES ASSOCIADAS DE UBERABA  FAZU",4,"PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3170107,"UBERABA",31,"Sudeste",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,4072,NA,8,235,0,NA,1,1,100,0,0,0,176,23,47,40,7,422,"FUNDACAO EDUCACIONAL PARA O DESENVOLVIMENTO DAS CIENCIAS AGRARIAS  FUNDAGRI","PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE",3170107,"UBERABA",31,"MG","Sudeste",0,0,95,9,15,6,6,11,17,17,7,3,4,0,0,0,0
"18",15743,22,0,13,35,0.371428571428571,0.628571428571429,304,688,"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2916401,"ITAPETINGA",29,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4440,NA,10,151,0,NA,1,1,70,0,0,0,227,25,36,36,0,457,"GOVERNO DO ESTADO DA BAHIA  UNIVERSIDADE ESTADUAL SUDOESTE BAHIA","ESTADUAL",1,"UNIVERSIDADE",2933307,"VITORIA DA CONQUISTA",29,"BA","Nordeste",0,NA,364,6,19,7,6,25,32,67,43,90,39,12,13,2,3
"19",17591,18,1,2,21,0.0952380952380952,0.904761904761905,834,1125,"FACULDADES INTEGRADAS ESPIRITA",4,"PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4106902,"CURITIBA",41,"Sul",1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4320,NA,8,30,0,NA,1,1,0,120,0,0,66,4,20,20,0,662,"INSTITUTO DE CULTURA ESPIRITA DO PARANA","PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE",4106902,"CURITIBA",41,"PR","Sul",1,0,95,19,13,5,6,16,13,13,7,2,1,0,0,0,0
"20",17690,28,0,1,29,0.0344827586206897,0.96551724137931,76121,954,"FACULDADE DE CIENCIAS AGRO AMBIENTAIS",4,"PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3304557,"RIO DE JANEIRO",33,"Sudeste",1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,4410,NA,9,32,0,NA,1,1,0,80,0,0,51,8,29,22,7,678,"SOCIEDADE NACIONAL DE AGRICULTURA","PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE",3304557,"RIO DE JANEIRO",33,"RJ","Sudeste",1,0,34,1,14,0,2,2,6,3,1,3,0,1,1,0,0
"21",17735,31,0,19,50,0.38,0.62,2583,1028,"UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,5001102,"AQUIDAUANA",50,"Centro_Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4430,NA,10,169,0,NA,1,1,50,0,0,0,211,26,50,50,0,729,"SECRETARIA DE ESTADO DO MEIO AMBIENTE DAS CIDADES DO PLANEJAMENTO DA CIENCIA E TECNOLOGIA CEMAC","ESTADUAL",1,"UNIVERSIDADE",5003702,"DOURADOS",50,"MS","Centro_Oeste",0,NA,292,0,0,1,5,14,30,86,43,67,26,13,5,1,1
"22",18866,33,5,28,66,0.424242424242424,0.575757575757576,642,577,"UNIVERSIDADE FEDERAL DE ALAGOAS",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2707701,"RIO LARGO",27,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4140,NA,9,264,0,NA,1,1,0,70,0,0,287,35,72,70,2,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2704302,"MACEIO",27,"AL","Nordeste",1,NA,1506,24,80,22,27,295,198,391,139,133,159,13,22,3,0
"23",20069,26,3,10,39,0.256410256410256,0.743589743589744,76870,387,"UNIVERSIDADE CATOLICA DOM BOSCO",5,"PARTICULAR CONFESSIONAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,5002704,"CAMPO GRANDE",50,"Centro_Oeste",1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,3600,3,10,48,1,NA,1,1,0,70,0,0,125,19,52,43,9,270,"MISSAO SALESIANA DE MATO GROSSO","PARTICULAR CONFESSIONAL",1,"UNIVERSIDADE",5002704,"CAMPO GRANDE",50,"MS","Centro_Oeste",1,1,599,62,51,50,37,152,116,55,33,32,6,3,2,0,0
