"","CO_CURSO","DESVINCULADO","TRANSFERIDO","FORMADO","TOTAL","TX_FORMACAO","TX_EVASAO","CO_UNIDADE_FUNCIONAMENTO","CO_IES","NO_IES","CO_CATEGORIA_ADMINISTRATIVA","DS_CATEGORIA_ADMINISTRATIVA.x","CO_ORGANIZACAO_ACADEMICA.x","NO_ORGANIZACAO_ACADEMICA.x","CO_OCDE","NO_AREA_ESPECIFICA","CO_NIVEL_ACADEMICO","CO_MUNICIPIO_CURSO","NO_MUNICIPIO_CURSO","CO_UF_CURSO","NO_REGIAO_CURSO","IN_AJUDA_DEFICIENTE","IN_ALTO_RELEVO","IN_AUDIO","IN_BRAILLE","IN_CARACTER_AMPLIADO","IN_DISCIPLINA_LIBRAS","IN_GUIA_INTERPRETE","IN_MATERIAL_LIBRAS","IN_SINTESE_VOZ","IN_TRADUTOR_LIBRAS","IN_INTEGRAL_CURSO","IN_MATUTINO_CURSO","IN_NOTURNO_CURSO","IN_VESPERTINO_CURSO","IN_VESTIBULAR","IN_ENEM","IN_OUTRA_FORMA_SELECAO","IN_CONVENIO_PEC_G","IN_OUTRAS_FORMAS_INGRESSO","NU_CARGA_HORARIA","NU_PERC_CARGA_HOR_DISTANCIA","NU_PRAZO_INTEGRALIZACAO","QT_INSCRITOS_ANO","IN_OFERECE_DISC_DISTANCIA","IN_PARTICIPA_UAB","IN_PERMITE_CONCLUINTE","IN_UTILIZA_LABORATORIO","QT_VAGAS_INTEGRAL","QT_VAGAS_MATUTINO","QT_VAGAS_NOTURNO","QT_VAGAS_VESPERTINO","QT_MATRICULA_CURSO","QT_CONCLUINTE_CURSO","QT_INGRESSO_CURSO","QT_PROCESSO_SELETIVO","QT_PROCESSO_OUTRA_FORMA","CO_MANTENEDORA","NO_MANTENEDORA","DS_CATEGORIA_ADMINISTRATIVA.y","CO_ORGANIZACAO_ACADEMICA.y","NO_ORGANIZACAO_ACADEMICA.y","CO_MUNICIPIO_IES","NO_MUNICIPIO_IES","CO_UF_IES","SGL_UF_IES","NO_REGIAO_IES","IN_CAPITAL_IES","IN_ENTIDADE_BENEFICENTE","QT_TEC_TOTAL","QT_TEC_FUND_INCOMP_FEM","QT_TEC_FUND_INCOMP_MASC","QT_TEC_FUND_COMP_FEM","QT_TEC_FUND_COMP_MASC","QT_TEC_MEDIO_FEM","QT_TEC_MEDIO_MASC","QT_TEC_SUPERIOR_FEM","QT_TEC_SUPERIOR_MASC","QT_TEC_ESPECIALIZACAO_FEM","QT_TEC_ESPECIALIZACAO_MASC","QT_TEC_MESTRADO_FEM","QT_TEC_MESTRADO_MASC","QT_TEC_DOUTORADO_FEM","QT_TEC_DOUTORADO_MASC"
"51",87354,31,1,10,42,0.238095238095238,0.761904761904762,77344,3371,"CENTRO UNIVERSITARIO DE PATOS DE MINAS",5,"PARTICULAR CONFESSIONAL",2,"CENTRO UNIVERSITARIO","621Z01","Agricultura, florestas e recursos pesqueiros",1,3148004,"PATOS DE MINAS",31,"Sudeste",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,3600,NA,8,115,0,NA,1,1,0,0,60,0,108,35,19,12,7,2128,"FUNDACAO EDUCACIONAL DE PATOS DE MINAS ( AGREGADA A UEMG)","PARTICULAR CONFESSIONAL",2,"CENTRO UNIVERSITARIO",3148004,"PATOS DE MINAS",31,"MG","Sudeste",0,1,268,1,25,3,18,54,68,66,20,7,2,1,3,0,0
"52",90737,23,0,8,31,0.258064516129032,0.741935483870968,76046,3375,"INSTITUTO DE ENSINO SUPERIOR MULTIPLO",4,"PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2112209,"TIMON",21,"Nordeste",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3906,NA,8,102,0,NA,1,1,0,0,0,80,71,0,23,23,0,2131,"CENTRO DE ENSINO SUPERIOR MULTIPLO SC LTDA","PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE",2112209,"TIMON",21,"MA","Nordeste",0,0,8,0,0,0,1,1,1,3,2,0,0,0,0,0,0
"53",91085,9,1,11,21,0.523809523809524,0.476190476190476,25880,3641,"CENTRO UNIVERSITARIO DA FUNDACAO EDUCACIONAL DE BARRETOS",5,"PARTICULAR CONFESSIONAL",2,"CENTRO UNIVERSITARIO","621Z01","Agricultura, florestas e recursos pesqueiros",1,3505500,"BARRETOS",35,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4300,NA,10,47,0,NA,1,1,60,0,0,0,89,0,17,17,0,51,"FUNDACAO EDUCACIONAL DE BARRETOS","PARTICULAR CONFESSIONAL",2,"CENTRO UNIVERSITARIO",3505500,"BARRETOS",35,"SP","Sudeste",0,0,131,10,13,7,6,19,32,31,13,0,0,0,0,0,0
"54",91738,47,1,28,76,0.368421052631579,0.631578947368421,930,587,"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2606002,"GARANHUNS",26,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,3995,NA,10,124,0,NA,1,1,0,40,0,40,225,0,81,80,1,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2611606,"RECIFE",26,"PE","Nordeste",1,NA,923,8,69,31,112,96,169,99,91,132,53,25,27,6,5
"55",91819,26,0,12,38,0.315789473684211,0.684210526315789,549,82,"UNIVERSIDADE DO OESTE DE SANTA CATARINA",3,"MUNICIPAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4219507,"XANXERE",42,"Sul",1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,3600,NA,10,68,0,NA,1,1,0,0,40,0,65,0,39,35,4,66,"FUNDACAO UNIVERSIDADE DO OESTE DE SANTA CATARINA","MUNICIPAL",1,"UNIVERSIDADE",4209003,"JOACABA",42,"SC","Sul",0,NA,610,20,16,19,16,142,77,148,37,97,27,9,2,0,0
"56",92593,29,0,39,68,0.573529411764706,0.426470588235294,1660,367,"UNIVERSIDADE ESTADUAL DE MONTES CLAROS",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3135100,"JANAUBA",31,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4600,NA,10,157,0,NA,1,1,38,0,0,0,89,12,33,33,0,256,"UNIVERSIDADE ESTADUAL MONTES CLAROS","ESTADUAL",1,"UNIVERSIDADE",3143302,"MONTES CLAROS",31,"MG","Sudeste",0,NA,1393,29,36,25,14,520,287,215,89,112,47,11,5,2,1
"57",94033,37,0,15,52,0.288461538461538,0.711538461538462,1458,3,"UNIVERSIDADE FEDERAL DE SERGIPE",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2806701,"SAO CRISTOVAO",28,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3630,NA,8,262,0,NA,1,1,0,50,0,0,165,0,60,51,9,3,"FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","FEDERAL",1,"UNIVERSIDADE",2806701,"SAO CRISTOVAO",28,"SE","Nordeste",0,NA,1141,12,85,13,37,229,219,249,154,78,55,2,6,1,1
"58",95426,2,0,10,12,0.833333333333333,0.166666666666667,4206,568,"UNIVERSIDADE ESTADUAL DO MARANHAO",2,"ESTADUAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2104800,"GRAJAU",21,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3615,NA,8,185,0,NA,1,1,30,0,0,0,18,0,11,11,0,390,"UNIVERSIDADE ESTADUAL DO MARANHAO","ESTADUAL",1,"UNIVERSIDADE",2111300,"SAO LUIS",21,"MA","Nordeste",1,NA,458,0,0,76,81,150,101,15,26,4,5,0,0,0,0
"59",97021,30,0,11,41,0.268292682926829,0.731707317073171,35261,789,"UNIVERSIDADE FEDERAL DE RORAIMA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,1400100,"BOA VISTA",14,"Norte",1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3630,NA,9,195,0,NA,1,1,0,40,0,0,130,1,43,43,0,541,"FUNDACAO UNIVERSIDADE FEDERAL DE RORAIMA","FEDERAL",1,"UNIVERSIDADE",1400100,"BOA VISTA",14,"RR","Norte",1,NA,272,3,7,14,8,57,55,41,62,5,15,2,3,0,0
"60",98964,28,1,13,42,0.30952380952381,0.69047619047619,32961,1303,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA GOIANO",1,"FEDERAL",4,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA","621Z01","Agricultura, florestas e recursos pesqueiros",1,5218805,"RIO VERDE",52,"Centro_Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3860,NA,10,200,0,NA,1,1,40,0,0,0,105,0,40,40,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",4,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA",5208707,"GOIANIA",52,"GO","Centro_Oeste",1,NA,344,3,11,1,12,34,83,33,48,67,45,5,2,0,0
"61",99722,57,0,18,75,0.24,0.76,79172,5,"UNIVERSIDADE FEDERAL DO PIAUI",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2201903,"BOM JESUS",22,"Nordeste",1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,3690,NA,9,94,0,NA,1,1,100,0,0,0,192,0,72,72,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2211001,"TERESINA",22,"PI","Nordeste",1,NA,1146,16,84,11,64,187,244,205,217,59,47,6,6,0,0
"62",99853,33,1,23,57,0.403508771929825,0.596491228070176,8546,2365,"FACULDADE CATOLICA DO TOCANTINS",5,"PARTICULAR CONFESSIONAL",3,"FACULDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,1721000,"PALMAS",17,"Norte",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3600,NA,10,105,0,NA,1,1,100,0,0,0,121,0,37,30,7,278,"UNIAO BRASILIENSE DE EDUCACAO E CULTURA","PARTICULAR CONFESSIONAL",3,"FACULDADE",1721000,"PALMAS",17,"TO","Norte",1,1,94,0,13,6,6,19,22,14,7,3,0,1,0,3,0
"63",100772,61,1,30,92,0.326086956521739,0.673913043478261,558,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,5107909,"SINOP",51,"Centro_Oeste",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3780,NA,8,148,0,NA,1,1,100,0,0,0,226,0,98,96,2,1,"FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO","FEDERAL",1,"UNIVERSIDADE",5103403,"CUIABA",51,"MT","Centro_Oeste",1,NA,1981,39,114,22,73,303,417,265,223,291,145,41,32,11,5
"64",101920,18,0,14,32,0.4375,0.5625,231,584,"UNIVERSIDADE FEDERAL DE GOIAS",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,5211909,"JATAI",52,"Centro_Oeste",1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3708,NA,10,85,0,NA,1,0,30,0,0,0,92,0,35,33,2,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",5208707,"GOIANIA",52,"GO","Centro_Oeste",1,NA,2244,0,1,26,47,533,431,319,211,355,176,88,35,12,10
"65",102040,29,1,36,66,0.545454545454545,0.454545454545455,23274,588,"UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4107207,"DOIS VIZINHOS",41,"Sul",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4040,NA,9,191,0,NA,1,1,0,88,0,0,151,0,74,74,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",4106902,"CURITIBA",41,"PR","Sul",1,NA,1008,3,28,8,48,156,227,281,89,91,63,11,2,1,0
"66",102160,17,3,11,31,0.354838709677419,0.645161290322581,23254,577,"UNIVERSIDADE FEDERAL DE ALAGOAS",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2700300,"ARAPIRACA",27,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3720,NA,9,220,0,NA,1,1,50,0,0,0,129,0,52,50,2,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2704302,"MACEIO",27,"AL","Nordeste",1,NA,1506,24,80,22,27,295,198,391,139,133,159,13,22,3,0
"67",103404,34,0,21,55,0.381818181818182,0.618181818181818,24213,582,"UNIVERSIDADE FEDERAL DE SANTA MARIA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4313706,"PALMEIRA DAS MISSOES",43,"Sul",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3795,NA,8,357,0,NA,1,0,0,56,0,0,159,0,56,51,5,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",4316907,"SANTA MARIA",43,"RS","Sul",0,NA,2608,58,118,115,130,494,293,343,222,384,221,128,70,17,15
"68",103592,10,2,20,32,0.625,0.375,33023,3189,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE MINAS GERAIS",1,"FEDERAL",4,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA","621Z01","Agricultura, florestas e recursos pesqueiros",1,3105103,"BAMBUI",31,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4220,NA,9,200,0,NA,1,1,40,0,0,0,160,31,36,36,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",4,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA",3106200,"BELO HORIZONTE",31,"MG","Sudeste",1,NA,500,21,37,1,18,59,129,47,108,44,21,12,3,0,0
"69",104356,20,1,9,30,0.3,0.7,34281,5322,"FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA  UNIPAMPA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4306601,"DOM PEDRITO",43,"Sul",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3945,NA,10,84,0,NA,1,1,50,0,0,0,143,0,132,129,3,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",4301602,"BAGE",43,"RS","Sul",0,NA,148,0,0,0,0,14,20,59,55,0,0,0,0,0,0
"70",109258,9,3,6,18,0.333333333333333,0.666666666666667,77091,1087,"FACULDADES INTEGRADAS APARICIO CARVALHO",4,"PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,1100205,"PORTO VELHO",11,"Norte",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,4450,NA,8,100,0,NA,1,1,0,0,120,0,27,0,28,21,7,757,"SOCIEDADE MANTENEDORA DE PESQ EDUC ASSIST COMUN E CULTURA MARIA COELHO AGUI","PARTICULAR EM SENTIDO ESTRITO",3,"FACULDADE",1100205,"PORTO VELHO",11,"RO","Norte",1,0,106,5,8,8,7,39,19,10,5,3,2,0,0,0,0
"71",111954,29,0,42,71,0.591549295774648,0.408450704225352,25934,585,"UNIVERSIDADE FEDERAL DE SANTA CATARINA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4205407,"FLORIANOPOLIS",42,"Sul",1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,3690,NA,8,242,0,NA,1,0,60,0,0,0,110,0,71,60,11,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",4205407,"FLORIANOPOLIS",42,"SC","Sul",1,NA,1521,50,117,63,136,193,267,203,172,117,80,54,45,12,12
"72",112108,27,0,19,46,0.41304347826087,0.58695652173913,381,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,1303403,"PARINTINS",13,"Norte",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3000,NA,8,50,0,NA,1,1,50,0,0,0,149,0,50,50,0,4,"FUNDACAO UNIVERSIDADE DO AMAZONAS","FEDERAL",1,"UNIVERSIDADE",1302603,"MANAUS",13,"AM","Norte",1,NA,1497,11,33,20,40,339,262,197,168,233,138,32,21,0,3
"73",113645,19,0,29,48,0.604166666666667,0.395833333333333,1324,634,"UNIVERSIDADE FEDERAL DE PELOTAS",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,4314407,"PELOTAS",43,"Sul",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3230,NA,8,221,0,NA,1,1,64,0,0,0,94,0,65,64,1,410,"FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS","FEDERAL",1,"UNIVERSIDADE",4314407,"PELOTAS",43,"RS","Sul",0,NA,1417,27,58,48,91,239,218,300,192,112,53,33,26,10,10
"74",115023,31,3,1,35,0.0285714285714286,0.971428571428571,35327,3164,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE MATO GROSSO",1,"FEDERAL",4,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA","621Z01","Agricultura, florestas e recursos pesqueiros",1,5107800,"SANTO ANTONIO DO LEVERGER",51,"Centro_Oeste",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4060,NA,9,170,0,NA,1,1,70,0,0,0,88,0,63,63,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",4,"INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA",5103403,"CUIABA",51,"MT","Centro_Oeste",1,NA,282,0,3,0,23,0,101,0,80,0,69,0,6,0,0
"75",117070,25,0,19,44,0.431818181818182,0.568181818181818,81134,578,"UNIVERSIDADE FEDERAL DA BAHIA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2927408,"SALVADOR",29,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2857,NA,9,99,0,NA,1,1,90,0,0,0,48,0,48,47,1,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2927408,"SALVADOR",29,"BA","Nordeste",1,NA,3244,54,136,74,95,846,399,618,346,331,152,89,40,33,31
"76",118474,34,4,23,61,0.377049180327869,0.622950819672131,937,587,"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,2613909,"SERRA TALHADA",26,"Nordeste",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4095,NA,11,70,0,NA,1,1,0,40,0,40,61,0,63,63,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",2611606,"RECIFE",26,"PE","Nordeste",1,NA,923,8,69,31,112,96,169,99,91,132,53,25,27,6,5
"77",120116,17,2,30,49,0.612244897959184,0.387755102040816,1618,590,"UNIVERSIDADE FEDERAL RURAL DA AMAZONIA",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,1505536,"PARAUAPEBAS",15,"Norte",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4790,NA,9,134,0,NA,1,1,0,50,0,0,128,13,64,64,0,391,"MINISTERIO DA EDUCACAO","FEDERAL",1,"UNIVERSIDADE",1501402,"BELEM",15,"PA","Norte",1,NA,437,8,80,5,76,41,106,25,47,18,14,5,9,1,2
"78",122326,62,0,29,91,0.318681318681319,0.681318681318681,2703,107,"UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI",1,"FEDERAL",1,"UNIVERSIDADE","621Z01","Agricultura, florestas e recursos pesqueiros",1,3162500,"SAO JOAO DEL REI",31,"Sudeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4392,NA,10,196,0,NA,1,1,100,0,0,0,77,0,92,92,0,81,"FUNDACAO UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI","FEDERAL",1,"UNIVERSIDADE",3162500,"SAO JOAO DEL REI",31,"MG","Sudeste",0,NA,338,3,15,4,20,37,71,45,33,62,37,7,4,0,0
